Site Name,Country/Region,Receiver,Antenna,Radome,Satellite System,Latitude,Longitude,Height (m),X (m),Y (m),Z (m),Calibration,Networks,Data Center,IERS DOMES,Clock,Agencies,Last Data
ALBH00CAN,CA,SEPT POLARX5,TRM59800.00,SCIS,GPS+GLO+GAL,48.38980000000001,-123.48739999999998,32.0,-2341332.884,-3539049.509,4745791.36,ROBOT,"IGS14 Core, IGS08, IGS20, IGS14, IGS, RTS, IGS Multi-GNSS",PGC,40129M003,EXTERNAL H-MASER,Geological Survey of Canada,2
ALGO00CAN,CA,SEPT POLARX5,AOAD/M_T,NONE,GPS+GLO+GAL,45.95880000000001,-78.07140000000003,202.0,918129.4,-4346071.2,4561977.8,ROBOT,"IGS08, IGS20, IGS14, IGS, RTS, IGS Multi-GNSS",CDDIS,40104M002,INTERNAL,Natural Resources Canada,2
ALIC00AUS,AU,SEPT POLARX5,TWIVC6050,NONE,GPS+GLO+GAL+BDS+QZSS,-23.670111111111105,133.88552222222222,603.2,-4052052.7352,4212835.9833,-2545104.5853,ROBOT,"IGS08 Core, IGS14 Core, IGS08, IGS20, IGS14, IGS, RTS, IGS Multi-GNSS",GA,50137M001,INTERNAL,Geoscience Australia,2
ALRT00CAN,CA,SEPT POLARX5,ASH701945D_M,NONE,GPS+GLO+GAL,82.49429444444442,-62.340461111111125,78.11,388042.75,-740382.4,6302001.85,ROBOT,"IGS08, IGS20, IGS14, IGS",CDDIS,40162M001,INTERNAL,"NRCan, Geodetic Survey Division",147
AMC400USA,US,SEPT POLARX5TR,TPSCR.G5C,NONE,GPS+GLO+GAL+BDS,38.803124999999994,-104.52459722222221,1911.3941,-1248596.405,-4819428.21,3976505.93,ROBOT,"IGS, IGS Multi-GNSS",JPL,40472S005,EXTERNAL H-MASER,"U.S. Naval Observatory, Jet Propulsion Laboratory",2
ANK200TUR,Turkey,TRIMBLE NETR9,TRM115000.00,NONE,GPS+GLO+GAL+BDS,39.84279722222223,32.775347222222216,1294.3,4124040.177,2655251.841,4065428.467,ROBOT,"IGS, IGS Multi-GNSS",IGN,20818M001,INTERNAL,General Command of Mapping Turkey,38
ANMG00MYS,MY,TRIMBLE NETR9,JAVRINGANT_DM,SCIS,GPS+GLO+GAL+BDS+QZSS,2.784648333333333,101.50660222222224,15.002,-1270826.87,6242631.446,307792.439,ROBOT,"IGS, IGS Multi-GNSS",JAXA,22720M001,INTERNAL,Japan Aerospace Exploration Agency,2
ANTC00CHL,CL,SEPT POLARX5,ASH700936D_M,SNOW,GPS+GLO+GAL,-37.33870277777779,-71.53205000000001,745.4,1608539.0,-4816370.0,-3847799.0,ROBOT,"IGS08, IGS20, IGS, IGS Multi-GNSS",SIO,41713S001,INTERNAL,National Seismological Center of the U. of Chile,5
ANTF00CHL,CL,STONEX SC2200,STXSA1500,STXG,GPS+GLO+GAL+BDS+SBAS,-23.701530555555554,-70.42007777777778,68.4,1958240.723,-5505483.304,-2548076.547,ROBOT,"IGS, RTS, IGS Multi-GNSS",CDDIS,41780M001,INTERNAL,Universidad de Santiago de Chile,2
AREG00PER,PE,SEPT POLARX5,TRM59800.00,NONE,GPS+GLO+GAL+BDS+SBAS,-16.465423315555558,-71.49290413638887,2489.337,1942816.3653,-5804077.1395,-1796884.4383,ROBOT,"IGS Multi-GNSS, IGS, RTS",IGN,42202M008,EXTERNAL RUBIDIUM,Centre National d'Etudes Spatiales,2
AREQ00PER,PE,SEPT POLARX5,JAVRINGANT_DM,NONE,GPS+GLO+GAL+BDS,-16.465517,-71.49279666666666,2488.9226,1942826.192,-5804070.331,-1796894.267,ROBOT,"IGS14 Core, IGS20, IGS14, IGS, IGS Multi-GNSS",JPL,42202M005,EXTERNAL QUARTZ,Jet Propulsion Laboratory,2
ARHT00ATA,AQ,JAVAD TRE_3 DELTA,JAVRINGANT_DM,SCIS,GPS+GLO+GAL+BDS+QZSS+IRNSS,-77.82943611111111,166.66365277777777,135.328,-1312626.536,311171.129,-6213081.915,ROBOT,"IGS, IGS Multi-GNSS, RTS",JPL,66001M005,INTERNAL,Jet Propulsion Laboratory,2
ARTU00RUS,Russian Federation,JAVAD TRE_G3TH DELTA,ASH700936D_M,DOME,GPS+GLO,56.42982222222222,58.56045277777777,247.511,1843956.968,3016202.97,5291261.66,,"IGS08 Core, IGS14 Core, IGS08, IGS20, IGS14, IGS",CDDIS,12362M001,INTERNAL,RDAAC,
ARUC00ARM,AM,SEPT POLARX5,ASH701945C_M,SCIS,GPS+GLO+GAL+BDS+QZSS,40.28572222222221,44.08558333333333,1222.0,3500416.7822,3390432.6839,4103027.5848,ROBOT,"IGS20, IGS, IGS Multi-GNSS, RTS",JPL,12312M002,INTERNAL,Jet Propulsion Laboratory,2
ASCG00SHN,SH,TRIMBLE ALLOY,TRM59800.00,NONE,GPS+GLO+GAL+BDS+SBAS,-7.916280555555557,-14.332663888888886,38.0,6121151.578,-1563978.904,-872615.417,ROBOT,"IGS20, IGS, IGS Multi-GNSS, RTS",IGN,30602M004,INTERNAL,Centre National d'Etudes Spatiales,2
ASPA00USA,US,SEPT POLARX5,TRM55971.00,NONE,GPS+GLO+GAL,-14.326094444444443,-170.72243333333333,53.7,-6100260.096,-996503.51,-1567977.812,ROBOT,"IGS08 Core, IGS08, IGS20, IGS",https://geodesy.noaa.gov/corsdata/,50503S006,INTERNAL,National Geodetic Survey,2
AUCK00NZL,NZ,TRIMBLE ALLOY,TRM115000.00,NONE,GPS+GLO+GAL+BDS+QZSS,-36.602799999999995,174.8344,132.711,-5105681.0,461564.0,-3782181.7,ROBOT,"IGS08 Core, IGS14 Core, IGS08, IGS, IGS20, IGS14, RTS, IGS Multi-GNSS",CDDIS,50209M001,INTERNAL,GNS Science,2
BADG00RUS,RU,JAVAD TRE_3 DELTA,JAVRINGANT_DM,JVDM,GPS+GLO+GAL,51.76970555555556,102.23498055555558,811.4,-838281.513,3865777.334,4987624.632,ROBOT,"IGS14 Core, IGS, IGS20, IGS14, IGS Multi-GNSS",SIO,12338M002,EXTERNAL H-MASER CH1-80,Institute of Applied Astronomy RAS,2
BAIE00CAN,CA,TPS NET-G5,TPSCR.G3,NONE,GPS+GLO,49.186825,-68.26332777777777,27.5,1546823.34,-3879765.13,4804185.05,ROBOT,"IGS, IGS20, RTS",CDDIS,40151M001,INTERNAL,Natural Resources Canada,2
BAKE00CAN,CA,SEPT POLARX5S,TPSCR.G3,NONE,GPS+GLO+GAL,64.31781944444444,-96.00234444444445,4.4,-289833.93,-2756501.06,5725162.22,ROBOT,"IGS08, IGS, IGS20, RTS, IGS Multi-GNSS",NRCan,40152M001,INTERNAL,Natural Resources Canada,2
BAKO00IDN,ID,LEICA GR50,LEIAR20,LEIM,GPS+GLO+GAL+BDS+QZSS+SBAS,-6.489999999999999,106.85000000000001,158.18,-1836969.054,6065617.126,-716257.839,ROBOT,"IGS, IGS20, IGS Multi-GNSS",Scripps Orbit and Permanent Array Center,23101M002,EXTERNAL,National Coordination Agency for Surveys and Mappi,4
BAMF00CAN,CA,SEPT POLARX5,SEPCHOKE_B3E6,SPKE,GPS+GLO+GAL+BDS,48.83531666666668,-125.13508888888892,11.1,-2420721.2,-3439856.061,4778532.675,ROBOT,"IGS, IGS Multi-GNSS",PGC,40190M001,INTERNAL CLOCK STEERING,Geological Survey of Canada,2
BARH00USA,US,LEICA GR30,LEIAR10,NONE,GPS+GLO,44.395047222222225,-68.22169166666664,6.8,1693644.846,-4239067.57,4439567.239,ROBOT,"IGS08, IGS, IGS20, IGS14",https://geodesy.noaa.gov/corsdata/,49927S001,INTERNAL,National Geodetic Survey,2
BAUT00DEU,DE,JAVAD TRE_3 DELTA,LEIAR25.R3,LEIT,GPS+GLO+GAL+BDS+SBAS,51.192344444444444,14.521733333333334,211.8,3877545.5,1004370.9,4947148.1,ROBOT,"RTS, IGS, IGS Multi-GNSS",BKG,14102M001,INTERNAL,Bundesamt fuer Kartographie und Geodaesie,2
BELE00BRA,BR,TRIMBLE NETR9,TRM115000.00,NONE,GPS+GLO+GAL+BDS,-1.4087944444444445,-48.46254722222221,9.08,4228139.05,-4772752.08,-155761.38,ROBOT,"IGS, IGS Multi-GNSS, RTS",JPL,41622M001,INTERNAL,Instituto Brasileiro de Geografia e Estatística,2
BHR300BHR,BH,NOV OEM6,TPSCR.G5,TPSH,GPS,26.20914166666667,50.60814444444445,-13.9,3633910.66,4425277.759,2799862.907,ROBOT,IGS,CDDIS,24901S002,EXTERNAL CESIUM /RCVR1,National Geospatial-Intelligence Agency,27
BHR400BHR,BH,NOV OEM6,TPSCR.G5,TPSH,GPS,26.20914166666667,50.60814444444445,-13.9,3633910.66,4425277.759,2799862.907,ROBOT,"IGS20, IGS",CDDIS,24901S002,EXTERNAL CESIUM /RCVR2,National Geospatial-Intelligence Agency,2
BIK000KGZ,KG,SEPT POLARX5,JAV_RINGANT_G3T,NONE,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,42.85419444444443,74.53319444444445,749.2,1249005.5455,4513917.3461,4316147.9247,CHAMBER,"IGS Multi-GNSS, IGS, RTS",CDDIS,12358M003,INTERNAL,GeoForschungsZentrum,2
BILL00USA,US,SEPT POLARX5,TRM59800.99,SCIT,GPS+GLO+GAL+BDS+QZSS+SBAS,33.57824166666666,-117.06460000000001,470.06,-2420420.5012,-4737131.5508,3507827.665,ROBOT,"IGS, IGS Multi-GNSS, RTS",CDDIS,49916M001,INTERNAL,EarthScope Consortium,2
BJCO00BEN,BJ,TRIMBLE NETR5,TRM59800.00,NONE,GPS+GLO,6.384663888888889,2.450022222222223,30.7,6333076.505,270973.437,704551.984,ROBOT,"IGS14 Core, IGS, IGS20, IGS14",https://geodesy.noaa.gov/corsdata/,32701M001,INTERNAL,Institut Geographique National-Benin,
BJFS00CHN,CN,TRIMBLE NETR9,TRM59900.00,SCIS,GPS+GLO,39.608624999999996,115.89246111111113,87.413,-2148743.808,4426641.281,4044655.993,ROBOT,"IGS08 Core, IGS08, IGS, IGS20, IGS14",IGN,21601M001,EXTERNAL RUBIDIUM,Chinese Academy of Surveying & Mapping,2
BJNM00CHN,CN,SEPT POLARX3ETR,NOV702GG,NONE,GPS+GLO,40.245325,116.2241277777778,118.6,-2154287.413,4373440.047,4098885.628,ROBOT,"IGS, IGS14",CDDIS,21616M001,EXTERNAL HYDROGEN MASER,National Institute of Metrology,
BLYT00USA,US,SEPT POLARX5,TWIVC6150,SCIS,GPS+GLO+GAL+SBAS,33.610413888888885,-114.71484999999997,85.9,-2223206.72,-4830299.8,3510587.59,ROBOT,IGS,CDDIS,40479M001,INTERNAL,USGS,2
BNOA00IDN,ID,TRIMBLE NETR9,TRM59900.00,SCIS,GPS,-8.746499999999997,115.20991666666667,39.056,-2685309.038,5704009.251,-963466.461,ROBOT,IGS,SIO,23116M001,INTERNAL,Pacific GPS Facility,
BOAV00BRA,BR,TRIMBLE NETR9,TRM115000.00,NONE,GPS+GLO+GAL+BDS,2.8451805555555563,-60.701113888888884,69.48,3117452.21,-5555487.82,314480.74,ROBOT,"IGS20, IGS, IGS Multi-GNSS, RTS",CDDIS,41636M001,INTERNAL,Instituto Brasileiro de Geografia e Estatística,2
BOGI00POL,PL,JAVAD TRE_G3T DELTA,TPSCR.G5,TPSH,GPS+GLO+GAL,52.4749888888889,21.035211111111117,139.9,3633815.7,1397453.9,5035280.8,ROBOT,"IGS, IGS Multi-GNSS, RTS",BEV,12207M003,EXTERNAL RUBIDIUM,Institute of Geodesy and Cartography,2
BOGT00COL,CO,JAVAD TRE_3 DELTA,JAVRINGANT_DM,NONE,GPS+GLO+GAL+BDS,4.6400730833333315,-74.08093955555555,2576.7782,1744399.0397,-6116037.5577,512731.7532,ROBOT,"IGS08 Core, IGS08, IGS, RTS, IGS Multi-GNSS",JPL,41901M001,INTERNAL,Jet Propulsion Laboratory,2
BOR100POL,PL,TRIMBLE NETR9,TRM59800.00,NONE,GPS+GLO+GAL+BDS+QZSS+SBAS,52.276955555555546,17.073458333333335,124.9,3738358.833,1148173.963,5021816.113,ROBOT,"IGS08, IGS, IGS20, IGS14, RTS, IGS Multi-GNSS",BKG,12205M002,EXTERNAL H-MASER,SRC PAS Borowiec Observatory,2
BRAZ00BRA,BR,LEICA GR50,LEIAR10,NONE,GPS+GLO+GAL+BDS,-15.947400000000004,-47.87780000000001,1106.0413,4115014.1128,-4550641.5225,-1741444.0984,ROBOT,"IGS08 Core, IGS14 Core, IGS08, IGS, IGS20, IGS14, RTS, IGS Multi-GNSS",CDDIS,41606M001,INTERNAL,Instituto Brasileiro de Geografia e Estatística,2
BREW00USA,United States of America,SEPT POLARX5TR,ASH701945C_M,SCIT,GPS+GLO+GAL+BDS+QZSS,48.131524027777786,-119.68263352777778,238.6273,-2112007.1404,-3705351.8421,4726827.1606,FIELD,"IGS08, IGS, IGS14, IGS20, IGS Multi-GNSS, RTS",JPL,40473M001,EXTERNAL H-MASER,Jet Propulsion Laboratory,2
BRFT00BRA,BR,SEPT POLARX5,LEIAT504,NONE,GPS+GLO+GAL,-3.8774472222222216,-38.4255361111111,21.7,4985393.532,-3954993.417,-428426.704,ROBOT,"IGS08 Core, IGS14 Core, IGS08, IGS, IGS14, IGS20",https://geodesy.noaa.gov/corsdata/,41602M002,INTERNAL,National Geodetic Survey,2
BRMG00DEU,DE,JAVAD TRE_3 DELTA,LEIAR25.R4,LEIT,GPS+GLO+GAL+BDS+SBAS,47.907738888888886,7.632877777777777,261.6,4245557.1,568958.1,4710200.0,ROBOT,"IGS, IGS Multi-GNSS, RTS",BKG,10918M001,INTERNAL,Bundesamt fuer Kartographie und Geodaesie,2
BRST00FRA,FR,TRIMBLE ALLOY,TRM57971.00,NONE,GPS+GLO+GAL+BDS+SBAS,48.38049722222222,-4.496600000000002,65.5,4231162.0,-332747.0,4745131.0,ROBOT,"IGS08, IGS, IGS14, IGS20, IGS Multi-GNSS, RTS",BKG,10004M004,INTERNAL,Institut National de l'Information Geographique et,2
BRUN00BRN,BN,TRIMBLE NETR9,JAVRINGANT_DM,SCIS,GPS+GLO+GAL+BDS+QZSS,4.971177777777777,114.95236111111109,90.669,-2680694.374,5761268.529,549016.773,ROBOT,"IGS, IGS Multi-GNSS",JAXA,22501M001,INTERNAL,Japan Aerospace Exploration Agency,128
BRUX00BEL,BE,SEPT POLARX5TR,JAVRINGANT_DM,SCIS,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,50.7980638888889,4.358563888888889,158.3,4027881.628,306998.537,4919498.984,ROBOT,"IGS, IGS14, IGS20, IGS Multi-GNSS, RTS",ROB,13101M010,EXTERNAL IMASER 3000,Royal Observatory of Belgium,2
BSHM00ISR,IL,SEPT POLARX5,TRM59800.00,SCIS,GPS+GLO+GAL+BDS+QZSS+IRNSS,32.77900000000001,35.02,225.1,4396111.1752,3080477.64191,3433499.46187,ROBOT,"IGS, IGS14, IGS20, IGS Multi-GNSS, RTS",JPL,20705M001,INTERNAL,Jet Propulsion Laboratory,55
BTNG00IDN,ID,TRIMBLE NETR9,TRM59900.00,SCIS,GPS,1.4389222222222227,125.19043055555557,74.993,-3674585.766,5210904.565,159093.409,ROBOT,IGS,SIO,23105M002,INTERNAL,Pacific GPS Facility,
BUCU00ROU,RO,LEICA GR50,LEIAR25.R4,LEIT,GPS+GLO+GAL+BDS+SBAS,44.463944444444444,26.12573888888889,143.2,4093760.994,2007793.667,4445129.862,ROBOT,"IGS08, IGS, IGS14, IGS20, IGS Multi-GNSS, RTS",BKG,11401M001,INTERNAL,TU of Civil Engineering Bucharest,2
BZR200ITA,IT,LEICA GR30,LEIAR25.R4,LEIT,GPS+GLO+GAL+BDS,46.49578611111111,11.338236111111112,331.2,4312893.06,864794.52,4603598.27,ROBOT,"IGS, IGS Multi-GNSS, RTS",BKG,12751M003,INTERNAL,AUTONOME PROVINZ BOZEN - SÜDTIROL,2
CAGS00CAN,CA,TRIMBLE NETR8,TRM59800.00,NONE,GPS,45.585,-75.80730000000001,235.0,1096349.16,-4335060.66,4533255.22,ROBOT,IGS,CDDIS,40147M001,INTERNAL,"NRCan, Geodetic Survey Division",2
CAS100ATA,AQ,TRIMBLE ALLOY,LEIAR25.R3,LEIT,GPS+GLO+GAL+BDS+QZSS,-66.28339999999999,110.51969999999997,22.6,-901776.221,2409383.497,-5816748.487,ROBOT,"IGS08 Core, IGS08, IGS14 Core, IGS, IGS14, IGS20, IGS Multi-GNSS, RTS",GA,66011M001,INTERNAL,Geoscience Australia,2
CCJ200JPN,JP,TRIMBLE ALLOY,TRM59800.00,SCIS,GPS+GLO+GAL+QZSS,27.067530555555553,142.19502777777782,104.214,-4490605.4013,3483894.7513,2884928.2222,ROBOT,"IGS, IGS20, IGS Multi-GNSS, RTS",CDDIS,21732M002,INTERNAL,Geospatial Information Authority of Japan,2
CEBR00ESP,ES,SEPT POLARX5TR,SEPCHOKE_B3E6,NONE,GPS+GLO+GAL+BDS+SBAS,40.45343055555555,-4.367852777777777,775.8,4846664.918,-370195.2,4116929.526,ROBOT,"IGS20, IGS Multi-GNSS, IGS, RTS",CDDIS,13408M001,EXTERNAL H-MASER,ESA/ESOC,2
CEDU00AUS,AU,TRIMBLE ALLOY,LEIAR25.R4,NONE,GPS+GLO+GAL+BDS+QZSS,-31.86665833333333,133.80983611111114,144.7,-3753473.1987,3912741.0258,-3347959.6898,ROBOT,"IGS08 Core, IGS08, IGS, IGS14, IGS20, RTS, IGS Multi-GNSS",GA,50138M001,INTERNAL,Geoscience Australia,2
CGGN00NGA,NG,JAVAD TRE_G3TH DELTA,ASH701945B_M,NONE,GPS+GLO,10.123094805555558,9.118311527777777,916.6953,6201032.5267,995277.2635,1113815.5634,COPIED,IGS,JPL,33812M001,INTERNAL,Jet Propulsion Laboratory,
CHAN00CHN,CN,ASHTECH UZ-12,ASH701945C_M,NONE,GPS,43.7905,125.44329999999997,268.3,-2674377.0,3757198.0,4391503.0,ROBOT,"IGS, IGS14, IGS20",CDDIS,21611M002,EXTERNAL H-MASER,"Changchun Observatory,NAOC,CAS",140
CHIL00USA,US,TPS NET-G3A,TPSCR.G3,SCPL,GPS+GLO,34.333422222222225,-118.02599722222224,1567.51,-2478003.12,-4655349.22,3577932.2,,"IGS, RTS",CDDIS,40484M001,INTERNAL,USGS,2
CHOF00JPN,JP,JAVAD TRE_G3TH DELTA,TRM57971.00,NONE,GPS+GLO+GAL+QZSS+IRNSS+SBAS,35.67454444444444,139.53105694444446,93.9,-3946216.71,3366689.83,3698971.69,ROBOT,"IGS Multi-GNSS, IGS, RTS",BKG,21788M001,INTERNAL,DLR German Space Operations Center,2
CHPG00BRA,BR,TRIMBLE ALLOY,TRM59800.00,NONE,GPS+GLO+GAL+BDS+SBAS,-22.682273095555562,-45.00237560055554,566.25,4163476.6693,-4163821.9362,-2444511.1746,ROBOT,"IGS Multi-GNSS, IGS, RTS",IGN,41609M004,INTERNAL,Centre National d'Etudes Spatiales,2
CHPI00BRA,BR,SEPT POLARX5,TPSCR.G3,NONE,GPS+GLO+GAL+BDS,-22.687144444444446,-44.98515833333334,617.4176,4164613.89,-4162456.91,-2445028.76,ROBOT,"IGS14 Core, IGS, IGS14, IGS20, RTS, IGS Multi-GNSS",JPL,41609M003,INTERNAL,Jet Propulsion Laboratory,2
CHTI00NZL,NZ,TRIMBLE ALLOY,TRM115000.00,NONE,GPS+GLO+GAL+BDS+QZSS,-43.735475000000015,-176.61711388888895,75.7,-4607855.9,-272375.8,-4386954.5,ROBOT,"IGS14 Core, IGS, IGS14, IGS20, RTS, IGS Multi-GNSS",CDDIS,50242M001,INTERNAL,GNS Science,2
CHUM00KAZ,KZ,TRIMBLE NETRS,AOAD/M_T,NONE,GPS,42.99850116666667,74.7510995,716.3321,1228950.716,4508079.93,4327868.505,ROBOT,"IGS14 Core, IGS08, IGS, IGS14, IGS20",JPL,25601M001,INTERNAL,Jet Propulsion Laboratory,2
CHUR00CAN,CA,SEPT POLARX5,ASH701945E_M,NONE,GPS+GLO+GAL,58.759100000000004,-94.08869999999997,-18.9,-236438.7,-3307616.7,5430049.1,ROBOT,"IGS08 Core, IGS14 Core, IGS08, IGS, IGS14, IGS20, RTS, IGS Multi-GNSS",CDDIS,40128M002,INTERNAL,Natural Resources Canada,2
CHWK00CAN,CA,SEPT POLARX5,SEPCHOKE_B3E6,SPKE,GPS+GLO+GAL+BDS,49.156600000000005,-122.0084,170.0,-2215259.73,-3543996.83,4802098.77,ROBOT,"IGS, IGS Multi-GNSS",PGC,40142M001,INTERNAL CLOCK STEERING,Geological Survey of Canada,2
CIBG00IDN,ID,TRIMBLE ALLOY,LEIAR25.R4,NONE,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,-6.490364786111113,106.84917348055558,169.1334,-1837002.6304,6065627.3598,-716183.2715,ROBOT,"IGS, IGS Multi-GNSS, RTS",IGN,23101M005,INTERNAL,Centre National d'Etudes Spatiales,2
CIT100USA,US,TRIMBLE NETR9,TRM57971.00,NONE,GPS+GLO+SBAS,34.13670833333333,-118.12728611111112,215.35,-2491490.2616,-4660803.2317,3559129.0005,ROBOT,"IGS, RTS",CDDIS,40400S201,INTERNAL,USGS,2
CKIS00COK,CK,SEPT POLARX5,JAVRINGANT_DM,NONE,GPS+GLO+GAL+BDS+QZSS+IRNSS,-21.20093611111111,-159.80061666666668,18.4,-5583182.1381,-2054143.6114,-2292166.7567,ROBOT,"IGS14 Core, IGS, IGS14, IGS20, IGS Multi-GNSS, RTS",GA,50213M003,INTERNAL,Geoscience Australia,2
CKSV00TWN,TW,TRIMBLE ALLOY,TPSCR.G3,TPSH,GPS+GLO+GAL+BDS+QZSS+SBAS,22.998852777777774,120.22000833333334,59.6,-2956619.1898,5075902.1717,2476625.5462,ROBOT,"IGS20, IGS, IGS Multi-GNSS",GA (ftp.ga.gov.au),23606M002,INTERNAL,National Land Surveying and Mapping Center,2
CMP900USA,US,SEPT POLARX5,TWIVC6150,SCIS,GPS+GLO+GAL+SBAS,34.35318055555556,-118.41142499999997,1137.99,-2508506.1541,-4637174.7958,3579499.9356,ROBOT,"IGS, RTS",CDDIS,49905M003,INTERNAL,USGS,2
CMUM00THA,TH,TRIMBLE NETR9,JAV_GRANT-G3T,NONE,GPS+GLO+GAL+BDS+QZSS,18.760874999999995,98.93237777777777,308.962,-938078.387,5968373.965,2038404.323,ROBOT,"IGS, IGS Multi-GNSS",JAXA,21908M001,INTERNAL,Japan Aerospace Exploration Agency,2
CNMR00USA,US,TRIMBLE NETR9,TRM57971.00,NONE,GPS+GLO+GAL,15.229697222222223,145.74309166666663,64.4,-5087757.849,3465028.937,1664653.754,ROBOT,"IGS14 Core, IGS, IGS14, IGS20",https://geodesy.noaa.gov/corsdata/,50512M001,INTERNAL,National Geodetic Survey,301
COCO00AUS,AU,SEPT POLARX5,LEIAR25.R4,NONE,GPS+GLO+GAL+BDS+QZSS+IRNSS,-12.188338888888891,96.833975,-35.3,-741951.076,6190961.706,-1337767.369,ROBOT,"IGS08 Core, IGS14 Core, IGS08, IGS, IGS14, IGS20, RTS, IGS Multi-GNSS",GA,50127M001,INTERNAL,Geoscience Australia,2
CORD00ARG,AR,SEPT POLARX5,TPSCR.G3,NONE,GPS+GLO+GAL+BDS,-31.528435583333334,-64.47004825000002,747.0654,2345503.9452,-4910842.9601,-3316365.5474,ROBOT,"IGS, IGS Multi-GNSS, RTS",JPL,41511M001,INTERNAL,Jet Propulsion Laboratory,2
COSO00USA,US,SEPT POLARX5,TWIVC6150,SCIS,GPS+GLO+GAL+SBAS,35.98234444444445,-117.80888888888887,1455.16,-2411148.2861,-4571430.2322,3727461.4502,ROBOT,"IGS, RTS",CDDIS,40469M001,INTERNAL,USGS,2
COTE00ATA,AQ,TRIMBLE NETR9,TRM59800.00,SCIS,GPS+GLO,-77.8059,161.9978,1878.1,-1285757.4165,417822.4915,-6214230.8473,ROBOT,IGS,CDDIS,66096M001,INTERNAL,EarthScope Consortium,2
COYQ00CHL,CL,TRIMBLE NETR9,ASH700936D_M,SNOW,GPS,-45.514299999999984,-71.89210000000003,476.0,1391587.0,-4255574.0,-4527926.0,ROBOT,"IGS08, IGS, IGS20",SIO,41715S001,INTERNAL,National Seismological Center of the U. of Chile,
